m/z,dGLO1_000003
201.1584167824589,290595.625
201.1848422427852,598592.3125
201.2925963409297,265101.0
201.3002869714392,537455.375
202.1800375529508,4545333.0
202.1802026070857,3889720.25
202.1822461207386,1089806.125
202.9536919725565,248292.0
203.0227022043879,297824.03125
203.0525133073907,236073.6875
203.0526591698168,350356.125
203.106744277702,284950.8125
203.1835409295502,501619.09375
203.2589004074936,258322.984375
204.088981633422,561231.0
204.1229298965851,2814879.25
204.1230649529137,2883031.75
204.1341563885466,621579.0625
204.1343030372692,495758.375
204.3904134719699,409351.59375
204.4366894341002,505823.40625
204.9930226669929,274329.4375
205.0730746089118,235176.375
205.0818046876337,339633.34375
205.0819745136137,414596.15625
205.0859366802923,336307.84375
205.0970052268132,487288.09375
205.0972490957619,528082.9375
205.2047067824341,217415.59375
205.903472756065,453103.84375
205.9036596510769,502308.96875
206.0657923574982,335995.9375
206.0660086482598,223931.125
206.1004896276494,251141.3125
206.9030877027031,313979.5
207.0080015826037,328247.875
207.9016136896353,235976.015625
207.9018850891093,263341.8125
207.9663557293617,965084.4375
207.9665279630081,873210.1875
208.1694979053147,331415.875
208.1696849233613,344451.90625
208.3687107034909,623705.875
208.3690106663475,9888955.0
208.3693017839403,428555.78125
208.6375846934133,220480.6875
208.7022236726608,1886319.75
208.7034862678692,1576025.375
208.8998915097694,243255.90625
209.0331226834536,387967.96875
209.033327443009,361219.84375
209.0346668879415,1318106.375
209.0366764922021,328095.375
209.0782960445495,323736.375
209.0784871281078,361111.71875
209.1534779451337,985830.8125
209.1536699763971,1419592.75
209.153906572364,253851.234375
209.1900804513089,406999.3125
209.3691054216009,266570.625
209.7235122573853,224609.671875
210.1099521734531,337743.9375
210.1101247052228,609278.25
210.1569935163701,239208.15625
210.1571505823983,222756.78125
211.0939990515705,571019.6875
211.0940989204932,535678.1875
211.1692692379877,217968.765625
211.2056941912247,225039.765625
211.4628863394594,236865.0
211.7180703879279,226729.1875
212.0684793587225,269813.5
212.2372011252151,215600.34375
212.6012780807997,220708.640625
212.9083968638747,222690.84375
212.9291289007151,231887.671875
213.0522372159536,379679.1875
213.0524020024502,350177.1875
213.0977599268712,266878.0
213.0980921642997,2402786.0
213.0982839372617,2434198.5
213.1095848525882,442310.53125
213.1098254359027,409720.09375
213.1848020041309,305374.9375
213.1849619449893,401167.75
213.3029811904941,220437.390625
214.0020983054345,248643.609375
214.0023867142828,372102.3125
214.1014281523356,322904.71875
214.1016684331341,231042.8125
214.1074506178133,232172.3125
214.1800797106169,325311.78125
214.4008137711824,219956.296875
214.5520702971585,221179.09375
214.9626956687123,312095.3125
214.9628856770123,511716.75
214.9974599397301,372399.78125
215.0063464886325,1628693.25
215.006524586726,2318830.75
215.0483883915813,232246.34375
215.1390899560951,251809.609375
215.2005954991596,721525.6875
215.2089386684218,237034.859375
215.4669221675065,224141.375
215.4784370103877,237225.140625
215.6966120348183,283684.15625
215.8240482827588,500188.03125
216.0626532921393,336900.34375
216.0630432608391,3616912.0
216.0631945794493,4265388.5
216.0635802266958,337673.25
216.1593177918498,379619.6875
216.1594882852241,311959.4375
216.2562394699715,225319.125
216.3418354968764,227419.21875
216.6513119284646,243026.5625
216.9630212372575,266980.1875
216.9632034635774,330015.4375
217.0046430505498,218270.3125
217.0384132042145,250442.09375
217.0664066652559,267841.09375
217.0681224594552,252927.34375
217.0987381488671,227991.171875
217.1045122362797,825606.375
217.1046894621457,788438.6875
217.1182607592435,247112.578125
218.1333329561823,223064.203125
218.1385117567023,267088.875
218.1387179972121,309532.75
219.0174391728545,449102.65625
219.0176453017149,912089.375
219.0264727788424,495262.4375
219.0540020169038,241418.4375
219.0877845086818,222742.40625
219.1338161858444,426913.0
219.13391491263,419233.75
219.210660532381,1405598.875
219.2107887002326,1354929.5
220.2140725691468,362065.21875
220.9967318295871,1306205.5
220.9969480332469,1354366.125
221.0331332778953,235141.65625
221.0333350741189,326449.21875
221.1170715729073,434493.90625
221.1172554103463,786857.0625
221.1534157474131,283207.78125
221.3768305494885,1465086.875
221.7112803590812,327741.71875
221.9455746995668,416324.90625
221.9457973257585,434102.25
221.9820274763575,584966.5625
221.982207278648,633961.8125
223.0582899854311,231625.875
223.0731402801022,255158.390625
223.0740758051938,404433.40625
223.074577213005,7603323.5
223.0747532592968,9061232.0
223.0753938489347,270859.21875
223.096346384033,250263.21875
223.0966082003926,304651.65625
223.1668727850896,283236.3125
223.2056675660273,364676.3125
223.7971249694201,229481.859375
224.0779643960072,595288.75
224.0781141289921,669623.875
224.1280254218592,271272.75
224.1281640565388,324507.59375
225.0522082251359,492600.8125
225.052446508514,516125.1875
225.0703980150581,382822.875
225.0705791021236,480417.6875
225.109576843272,357007.15625
225.1097955374905,294267.8125
225.1287766231351,224321.59375
225.148381537378,262538.78125
225.1846993610027,217633.5
225.4431855990216,225923.625
225.9357329035165,241692.796875
226.062324370633,219003.765625
226.0838635640677,874137.6875
226.0840813151899,1174977.25
226.1796510999129,334840.28125
226.1800367515899,3551660.0
226.1801930972389,3747990.0
226.1806412892974,294720.90625
226.9626589948087,905114.875
226.9628917997041,969128.1875
227.000622043843,221794.609375
227.0678743892004,577749.4375
227.068077804866,592876.0
227.1137600588882,326163.9375
227.1139711998948,330314.875
227.1277678703831,265482.8125
227.1640073998735,501811.125
227.1642062087516,483103.625
227.1752559415551,399871.28125
227.1754662410115,405411.71875
227.1833785629903,595714.375
227.1835095315165,552204.5625
227.2004325089305,1196800.125
227.2006227764957,1233566.125
227.2370022442453,280543.40625
228.1950917254077,243730.71875
228.1956868280913,3274932.5
228.1958517598553,4087998.25
228.2039047708577,247936.859375
228.232051851415,588814.375
228.2322554286109,851967.9375
228.4378925661955,233688.78125
228.7210763520281,215005.671875
228.7490497424482,269688.71875
228.9419689143892,639720.5625
228.9421320141903,775730.375
228.9784750850197,296364.4375
229.0837203534904,594085.125
229.1182755426252,411616.59375
229.1544654460808,299385.125
229.15468137114,325253.84375
229.199039254143,514915.34375
229.1992348299042,614570.0
229.2154434796971,287475.25
229.2156614659947,359637.21875
229.2161227419399,3804030.25
229.2162648230901,4164938.75
229.2166317046821,471450.28125
229.216852612733,261552.671875
229.7398176705343,221772.734375
229.9271826340729,704874.5625
229.927387288113,970087.75
230.0786498262021,318314.5
230.0788400425085,338977.90625
230.1749198523468,461898.21875
230.1751730322327,539884.3125
230.2194370430045,635058.4375
230.21963632745,699333.75
230.247728087375,1300620.0
230.7485553608595,230898.21875
230.934996702851,224702.90625
230.9352130329956,233332.8125
230.9788834708737,251272.90625
231.0174132400641,287481.71875
231.0176445523704,336591.8125
231.1355426122683,365968.03125
231.210535279198,412695.21875
231.2106966764589,316678.25
231.251218478528,226163.984375
231.5669536843997,220428.59375
232.0128733479412,305536.09375
232.0511394791523,232343.296875
232.1402905699278,1220362.75
232.1404931937378,1289518.375
232.5472293786273,246204.390625
232.6275492562748,341164.5
232.6473662148623,226380.8125
232.647662457341,778001.0625
232.6677605870086,294222.1875
232.707994347563,261065.125
232.7280978869845,446264.03125
232.7482149339824,385593.0
233.0421351877112,278211.78125
233.0590981857575,257812.03125
233.0784634875326,378467.1875
233.0786486340197,498921.03125
233.1132500284712,464852.96875
233.9458352840965,219077.78125
233.9483554518706,235371.609375
233.9821863063734,266046.78125
234.1448116384948,373533.90625
234.4671428544686,236077.359375
234.7627308746914,270680.46875
234.9898282024219,343118.625
234.9900363426089,368929.53125
235.0487220323969,233504.0
235.092364743571,294281.8125
235.0925638521792,321750.5
235.1329176889771,341051.125
235.1692979776489,732402.125
235.2056639087201,508721.15625
235.4353406232115,229251.953125
235.6513633086959,219771.453125
235.9976239039854,297252.40625
236.1844771199924,225833.734375
236.5536201967088,234676.03125
236.5538342257269,267456.53125
236.9691246919191,290153.75
236.9693389534265,298154.15625
237.0280081360306,742924.75
237.0282412352365,722615.1875
237.1097000104841,324901.25
237.1235115582739,241178.359375
237.1484847340093,476493.40625
237.2204438415148,271212.75
237.2211750248032,6233131.5
237.2213360629253,6288132.5
237.2218473213275,462847.5
237.23092369738,233608.140625
237.3574481658501,225067.640625
237.8844193198642,364644.9375
237.8846488657667,401979.0625
237.9297097571425,351441.5625
238.0449191736553,272372.875
238.0451385337034,557892.375
238.1414829590856,218658.328125
238.1891674080149,237496.125
238.2244830041516,849752.25
238.2247216160482,1296840.625
238.2249865073485,220505.703125
238.4853585812219,241004.546875
238.9292934075704,232281.8125
239.0427784407411,379757.375
239.0678902386175,321167.53125
239.0681009019605,507061.375
239.0890981719288,247056.1875
239.1044067047562,224183.4375
239.1254177667699,237575.234375
239.148637484462,239419.75
239.1489611084006,499814.46875
239.1618188505711,413298.03125
239.2368921383959,475691.9375
239.6645557438079,323051.9375
239.968024824773,219554.03125
240.1594563952502,278993.96875
240.2322284623179,321510.78125
240.9766843487116,293220.875
240.9769037674058,253510.015625
241.0834276184403,286586.96875
241.0836956756908,506378.375
241.1294706166361,265817.0
241.2036481048166,269231.375
241.2160536259398,1109726.25
241.2162362994036,1235390.375
241.9844981078297,402458.28125
242.0422791255533,313530.28125
242.1151675781005,225548.015625
242.2113929012954,659063.0
242.2196314755483,365478.6875
242.2476418206845,344612.8125
242.2478961687539,480562.375
242.2842413676433,272708.84375
242.9349695400442,336427.375
242.9351941791245,337574.78125
242.9785753435478,283012.71875
242.9788257611817,313363.09375
242.9814015934825,235511.171875
242.9922927570088,1052926.25
242.9925371878356,1063932.375
243.0627649727186,282079.90625
243.1087855732704,392942.3125
243.122673705373,365904.5625
243.1953248766682,249798.71875
243.2310580291368,269276.59375
243.231717702187,3957392.0
243.2319209742553,4535681.0
243.232628319867,239345.40625
243.2328628242008,244532.375
244.0032967852108,371523.90625
244.0943223748553,1602596.5
244.094506122988,2176885.0
244.0949569416519,251234.6875
244.1289673751019,261196.296875
244.1292091305041,430724.09375
244.1653989114143,325224.96875
244.1656611673534,253365.0
244.1900396268272,360311.8125
244.1907591828379,6122667.0
244.2352484598141,884326.25
244.4042701168875,291417.25
244.9579195365637,227398.109375
244.9581629365394,253889.453125
244.97342530335,241345.34375
245.025313119908,588610.9375
245.025546089566,926816.1875
245.0766739057137,341788.03125
245.0769114230269,429603.875
245.0782675611366,297974.75
245.0784950689582,479935.71875
245.0978503554158,236923.921875
245.1131351421684,255518.65625
245.1146435833462,486035.5
245.1148817306797,525193.0625
245.1382029361216,294120.90625
245.1384188681789,449487.09375
245.174682484177,275442.84375
245.1939572012262,728807.4375
245.1941659933841,866926.0
246.0297097399771,366214.8125
246.1447346656246,286304.375
246.1700419794818,271595.65625
246.1812326609472,406168.6875
246.9526317672237,216319.640625
247.0125455633705,234096.71875
247.0142181772385,310651.71875
247.0487853271947,265308.9375
247.0577457454058,279913.125
247.0924523023785,254523.25
247.1089606876739,224993.65625
247.128798095945,337684.40625
247.2420843414992,331567.0
247.4083372980655,234883.90625
247.6997063890276,228363.640625
248.1603561870456,497890.59375
248.1605723431052,349332.59375
248.8970273511464,226866.9375
249.0453416645084,293826.1875
249.045581192535,506568.71875
249.1079907799592,244770.109375
249.108176406975,252599.90625
