m/z,BY0_000001
216.0625841182372,313634.1875
216.0630484489022,3457166.0
216.0631859326664,3736624.75
216.0634574419975,485370.53125
216.1597660948005,242874.1875
216.299494362683,256006.15625
216.9629619483769,397335.375
216.9631729471868,541710.375
217.0018554389772,287040.28125
217.038229106535,420126.28125
217.0384097142081,282247.9375
217.068184424046,262757.1875
217.1045454115431,912748.0625
217.1047217644281,795607.75
218.1385487742006,349573.875
218.1387550147809,765429.5
218.9584782621411,259590.234375
218.9587562087858,269239.6875
218.981212721862,245762.828125
219.0174862626036,964539.4375
219.0176728448247,1744966.375
219.0266433822889,691540.5625
219.0538864752654,289037.59375
219.0541362231139,276343.09375
219.133790392375,430771.84375
219.134004745187,658653.25
219.2105724170707,424277.25
219.2107744593521,582932.5625
220.9871451151178,247224.265625
220.9967453988411,2606452.5
220.9969588886728,3287381.75
221.0235144503231,454985.9375
221.0237234676865,533664.125
221.033126038576,335051.75
221.0333513626195,385758.875
221.1170924017638,435274.9375
221.1172789560504,439993.3125
221.3768514273117,1515978.875
221.7113113152763,261186.609375
221.9455883855906,423728.84375
221.9458028001781,430511.25
221.9819946191175,506921.0625
221.9822018024319,674780.125
222.0003441634709,254614.234375
222.0290789821044,272091.15625
223.0636564342302,338966.34375
223.0738103549122,320097.375
223.0741108299313,704033.75
223.0745818215435,11725387.0
223.0747597112609,15210856.0
223.0753671192213,438330.40625
223.096499417465,474486.90625
223.1667648560982,272103.84375
224.0781308693388,1086935.875
224.1280691522431,287256.1875
225.0521997820329,327363.875
225.0524127360358,345702.5
225.0704186570916,756292.625
225.1096087557064,305626.21875
225.1097833356558,370202.09375
226.0838692445266,415426.875
226.0840794217001,525090.3125
226.1800424368824,2131303.0
226.1802035202892,2085312.5
226.9626618571613,1523606.0
226.9628898914654,2111793.5
227.067912589297,503625.6875
227.0681246000703,469154.96875
227.0793493213286,291369.46875
227.1135011489598,241108.53125
227.113720887976,621725.375
227.113953047485,586731.9375
227.1640714392338,633965.8125
227.1642367947636,465825.15625
227.1752578533664,314825.75
227.1754595496593,448534.4375
227.1833537076668,312076.25
227.1835754938238,355495.71875
227.2004162549321,667947.625
227.2006170397812,787998.875
227.2368033079291,300010.03125
228.1958488663135,3020576.0
228.2316167184379,315950.28125
228.2320036104274,299078.9375
228.2322573582542,296871.59375
228.748946038523,294988.25
228.9419388186178,1297016.25
228.9421426933523,1755489.625
228.9783799132319,360111.15625
229.0836348145271,503586.3125
229.118301795465,325984.25
229.1295842672411,264949.03125
229.1548097592063,424821.0625
229.1990295240144,472010.375
229.1992319108605,496207.84375
229.2156468686863,298176.90625
229.216252172021,2971990.25
229.9272022181758,869855.625
229.9274098098714,996561.9375
229.9747103404757,295275.78125
230.0786949290089,347405.03125
230.0788674964341,345883.1875
230.1136421723001,255453.390625
230.1749806939739,323241.21875
230.2194782742403,605815.3125
230.2477045208845,651754.8125
230.2479234930478,724246.8125
230.8816762774792,314677.9375
230.9349729954627,274363.96875
230.9352278501441,352489.875
230.9789259627689,272830.75
230.9843769132448,374797.5625
231.017483424518,970297.1875
231.0177117714187,1069264.625
231.0653354224998,335434.3125
231.0839979123532,272624.1875
231.1353902256204,283364.65625
231.2107649980666,301071.0625
232.0127188052082,509429.8125
232.012935165092,405300.78125
232.1402845810522,2261297.0
232.1404832122618,2305518.5
232.1543842486257,362099.625
232.5272011382515,293606.1875
232.6276189189641,488793.21875
232.6476950390472,1359028.5
232.6678082146562,330206.25
232.6878872609909,248871.671875
232.7080495144428,296185.90625
232.7281304912242,648634.9375
232.7482450354068,690835.6875
232.9967208757622,365353.6875
232.9969516438508,346251.59375
233.0081135219794,300743.28125
233.0422699805953,282838.3125
233.0591897375178,469615.6875
233.0786310249651,565121.125
233.1130270821821,378744.53125
233.1132389566374,444291.78125
233.1438143139419,299007.0625
233.4960537162089,241840.125
233.9821538568351,333458.03125
234.1449009988596,619095.9375
234.9760324497545,354751.0
234.9762420995273,358993.71875
234.9898435444376,394590.625
234.9900516846515,607871.0625
235.0124429744136,315976.09375
235.023711324704,305433.71875
235.0489773494504,302051.875
235.0923964780825,430023.875
235.1329417540833,279118.25
235.1692600761909,624904.5625
235.2055291632823,435261.03125
235.2057264142609,401483.4375
236.5537839573764,238031.890625
237.0280393546474,1510448.5
237.028238113369,1509357.625
237.0901369690457,319870.21875
237.0904248518016,500391.25
237.1095021564565,246114.9375
237.1097624907718,249007.140625
237.1483915038158,399089.21875
237.1485909852698,369161.875
237.2207971854064,297489.125
237.2211823210246,2219837.5
237.2213668113298,2326340.75
237.2217983321493,270697.1875
237.5474013722464,260544.5
237.8844622941768,586465.5625
237.884693936475,640920.9375
237.929896399713,270569.6875
238.0449611564079,306452.375
238.0451742191086,352628.53125
238.2244961435615,359770.25
238.2246632769729,419649.5625
238.9292627435033,314718.21875
239.0428022544395,422208.25
239.067828310017,252841.453125
239.068069672949,309650.78125
239.0681734168151,327573.75
239.1254479516466,423700.03125
239.1487826119468,365881.1875
239.1490056001392,441785.4375
239.1616784747428,290599.78125
239.1618358016268,268784.34375
239.2369758868042,312103.3125
239.8826640932164,286740.875
239.8828516806527,285268.25
240.1594088560008,256217.96875
240.2321392054041,274386.96875
240.6657328821106,243769.1875
240.9642873037714,269733.0
240.9768386946627,757256.8125
241.0835153559884,387201.96875
241.0837387371528,310828.4375
241.1293763839683,317177.65625
241.1295416950393,298069.875
241.1433769348561,313676.84375
241.2160471596273,745082.5
241.2162761750635,882654.875
241.9844840080783,286457.3125
241.9846938776137,397740.125
242.0422872639112,322783.53125
242.2113331365968,610527.75
242.2115444864352,665234.25
242.93495915528,548040.125
242.9351887134482,706537.5
242.9787404660335,564960.5625
242.9923310347347,1507514.75
242.99252898545,1757475.125
243.062766614144,286655.59375
243.1088047304863,569693.375
243.2312919825423,329053.25
243.2317461931306,2956851.0
243.2319341239415,3130193.75
244.0035107225127,352536.75
244.0943163051018,2167449.75
244.0945348164154,2737791.25
244.0949155567602,375646.03125
244.1291428960998,304524.65625
244.1653967029457,310734.59375
244.1656407389769,465752.15625
244.190100371991,415142.59375
244.1905879910776,3872831.5
244.1907917645225,5071680.0
244.2352854728382,634678.0
244.2635313382077,254161.96875
244.9732324487048,517649.5625
244.9734080742473,504303.875
245.0253386965082,627003.5
245.0255538737626,1074524.875
245.0333839140443,376314.59375
245.0422615675727,251329.359375
245.0769353416575,284071.84375
245.0784650312269,472621.75
245.1130399958198,285588.28125
245.1148572482231,547833.0625
245.1384422422914,262227.21875
245.1941643230456,670150.9375
245.6155442202991,404150.75
