m/z,BY0_000003
201.1848354955469,444106.28125
201.2734319884103,575931.25
201.292614352845,251824.984375
201.3002989803002,1283705.0
201.6725334480622,314265.75
202.1800383100791,3821001.75
202.1802079069935,3349971.75
202.1822385492894,1605343.125
202.3041752783307,269092.65625
202.9537079941706,262500.5625
202.9863759840065,571550.3125
203.0228014533072,312363.375
203.0525003248814,326792.59375
203.0526897169479,447264.625
203.1836303951584,469698.1875
203.258875920127,329083.8125
204.0889229999518,796576.875
204.0890618687522,846610.6875
204.1225401636125,255499.03125
204.1229337553352,4815321.5
204.1230803879336,3975725.25
204.1341633350598,800305.75
204.1342960907458,799392.875
204.3904544819937,399766.0
204.968916319423,296328.03125
204.9932452734093,330039.0625
205.0020549602279,283742.625
205.0285928986219,330133.625
205.0288101319921,449675.96875
205.0817719688992,341498.59375
205.0819838618406,484074.90625
205.0857987887112,322642.15625
205.0859974461322,303654.875
205.0970924897568,535690.0
205.0972576662471,600282.0625
205.1183556959802,308243.25
205.1262783181884,267206.09375
205.126463025613,398348.9375
205.9034758971551,677940.25
205.9036620068986,526123.25
206.0659716821707,316235.90625
206.903196332196,397933.125
207.0080277753644,2044095.75
207.9017049566365,288442.75
207.9018746814465,277135.9375
207.9663845684642,1012981.0
207.9665439847577,826479.3125
208.3687388501027,620298.375
208.3690364004667,9879754.0
208.3692318191401,832212.25
208.7022502959166,1809118.625
208.7035185388737,1406353.75
209.0235220958477,295270.875
209.0331469632217,531721.0
209.0333468668617,696012.375
209.0346887400556,1118828.75
209.0367015821491,279639.4375
209.1534811861647,759541.375
209.1536837508059,1126405.5
210.1101173460419,282616.15625
210.3516228322166,248389.015625
210.8988773240565,263493.03125
211.0939255943238,371016.3125
211.0941162531251,461007.09375
211.3994664022507,246708.046875
213.0522397381941,370823.3125
213.0524507658497,371745.3125
213.0980921642997,4322357.0
213.0982982361363,4514442.0
213.1095890585858,256336.78125
213.1097505690092,302072.90625
213.109862448769,284621.125
213.1233822580232,313450.09375
213.5073771803222,244682.21875
214.0021576836635,434718.09375
214.0023341220229,578635.375
214.1014247561446,336625.09375
214.1016293768545,578535.5625
214.1297102739918,287371.875
214.1299285371522,258193.84375
214.1800142859138,313591.25
214.1802156581793,405640.15625
214.9530416350492,306996.1875
214.9532068075893,458412.28125
214.9626965246048,703414.5625
214.9628788298604,834976.0625
214.9975712418022,662707.0625
215.0065340053828,2103340.5
215.1391233907109,247879.953125
215.2004882757167,501740.21875
215.6966697718667,313068.25
216.0099003060969,262428.1875
216.0630570956741,3330989.25
216.0632075496263,3647711.0
216.1593619297022,335269.28125
216.9629802581748,401602.25
216.9631991040928,500471.59375
217.0018754997565,303211.625
217.0381915890375,354892.40625
217.038333806599,343948.03125
217.038483876865,254289.796875
217.066406665256,355838.84375
217.0681242049361,264665.3125
217.1045166014455,900163.875
217.1047173992544,831068.3125
217.1070004091567,256939.46875
218.138553181046,353899.46875
218.1387664726027,619112.625
219.0174453922542,945855.4375
219.0176532981013,1580684.5
219.0179838159002,293485.5625
219.0264265737873,480924.0
219.0266336081258,461255.4375
219.0538189279023,283645.65625
219.0540384569834,324043.8125
219.0975530075395,338099.125
219.1337966183849,367140.28125
219.134004745187,456648.4375
219.2106329407104,829860.125
219.2107931505079,920616.9375
220.2141507143917,311901.3125
220.9967254972685,2300065.25
220.9969507471033,3323252.0
221.0235515486137,409259.65625
221.0237334209042,373577.0625
221.07665649266,254926.9375
221.1171213810497,572685.3125
221.1173142746155,473612.78125
221.3768559659698,1724343.875
221.7113258829009,367968.3125
221.9455601011439,321576.03125
221.9458146614236,380904.5
221.9819891429115,561823.5
221.9821771594623,513714.875
222.0003368606561,297591.96875
222.0292743831509,255305.984375
223.0635227997928,315277.4375
223.0637200258459,324168.71875
223.0737237150266,312087.40625
223.0738960731629,394124.46875
223.0740149727816,478977.96875
223.0745781347127,12233710.0
223.0747643198067,15374363.0
223.075283243266,561142.1875
223.0755634445053,252512.875
223.0941661413812,270542.6875
223.0964265882753,309486.1875
223.1327945509832,255920.59375
224.0781020387441,1106699.25
224.0783633744051,249908.34375
225.0522176063615,299823.40625
225.0523949116767,339296.53125
225.0703914471384,551947.5625
225.0705866083297,664406.25
225.099171994844,253632.703125
225.1096218961242,376763.375
225.1098208797659,338935.5
226.0839648656246,507219.96875
226.1800509648212,2314997.5
226.1802129957913,2480477.0
226.1805569570409,295086.375
226.962668535984,1521063.875
226.9628851208688,2467354.0
227.0681035899762,442371.84375
227.1137686573831,752587.6875
227.127668497789,352512.8125
227.1638582934444,255568.265625
227.1642348831376,634290.5
227.1752568974607,318716.09375
227.1833785629903,343425.03125
227.1835783617508,313716.625
227.2004066937572,803468.75
227.2369601615343,278957.9375
228.195677182967,2535299.75
228.1958623695089,3231567.25
228.2320016807883,275686.46875
228.2322149061071,330112.65625
228.2323760313862,257465.296875
228.9421378391872,1668289.375
228.9424562728198,272282.6875
228.9783265005283,322868.28125
229.0834987299459,392450.25
229.0837077170484,472784.0625
229.1181277489713,252719.0625
229.1183338822777,366472.75
229.1295745430091,295622.9375
229.1545724359242,329143.0
229.1547737716275,346148.75
229.199045092221,360774.75
229.199285426672,353013.90625
229.216268715727,3380906.5
229.9272041765863,763537.8125
229.9274254771851,793283.125
230.0786674751239,349203.25
230.0788547499673,365344.5
230.1751514432282,331276.28125
230.2194556952288,536956.1875
230.2196255287772,548267.5625
230.2476878279556,600480.125
230.2479372401925,637870.75
230.8818510388912,266282.09375
230.9350233736686,295784.75
230.9786660707222,437071.28125
230.9843255252738,444975.9375
230.9845518301657,345024.125
231.0174745278953,836152.75
231.0176840929828,1029685.3125
231.0650575353869,351609.28125
231.0839237311489,248807.53125
231.1355485494148,253742.34375
231.2106263745573,378335.125
232.0127257845529,444238.75
232.0129381562455,551547.1875
232.1402915680738,2179746.75
232.1405021770685,2402801.75
232.6477792502691,269275.78125
232.9969722571439,406293.21875
233.0081401709857,330404.03125
233.058970918869,371700.375
233.0784051262003,468214.625
233.0786400810504,699221.375
233.1130839510599,567699.75
233.1494630710191,281473.875
233.9820448467339,270769.59375
234.1448030071002,513598.28125
234.9079334615926,304733.03125
234.9761751138273,350700.0
234.9898322936261,380540.34375
234.9899974761087,441160.03125
235.0125570387316,298898.5625
235.023726159596,265444.0
235.0393335039,266567.375
235.0487788263221,300484.21875
235.0489937225078,355314.4375
235.0923217484406,336794.90625
235.0925157385005,379470.5
235.1691438109842,577080.3125
235.1693430496679,670435.0625
235.2055214781861,349403.09375
235.2057320500076,445527.375
236.5536937853349,355109.34375
236.9694169613529,273020.125
237.0280461186829,1426663.375
237.0282344711909,1324572.5
237.090221824107,517915.90625
237.0904373458258,492530.34375
237.1097276059402,332732.59375
237.1484258791861,564142.9375
237.2206908694347,306164.96875
237.2211797152312,4338521.5
237.2213444014756,3892030.5
237.8844523367134,475979.5
237.8846839789918,715906.0
237.9297417380117,244641.5
237.9299037395957,333935.3125
238.0449417393831,256419.390625
238.0451574259757,352368.0
238.2244845808805,664895.25
238.2246843000595,821468.875
238.5281313030843,266921.40625
238.9294731626031,258594.828125
239.0428086047592,281614.5625
239.0678611268783,258253.5625
239.0680797297476,533302.3125
239.1044416495257,276439.3125
239.1254013504368,429430.15625
239.1487863195856,450414.46875
239.149027316352,277736.75
239.1616609939913,319999.0
239.1618363313473,312720.25
239.2370151107627,301352.625
239.8829262893742,253904.5
240.2322819096045,400088.875
240.9766536946612,744436.0
240.9768747266728,596577.5
241.0837527321307,363838.125
241.129505078887,430188.875
241.2037100672852,277781.96875
241.2160988901356,844977.5
241.2162503097686,821207.0
241.9845100383885,296373.71875
241.9847269578577,349457.53125
242.0842759936858,248175.28125
242.1750559747478,246391.359375
242.2113374831198,681045.0625
242.211558612659,782209.0
242.2479548645372,254698.625
242.2842843154042,270452.5625
242.9350116256795,483726.0
242.9352072967478,455660.1875
242.9786442356838,444692.6875
242.9788853584668,439950.65625
242.9922954911319,1507931.875
242.9925410156155,1908958.75
243.1087198914087,678338.4375
243.1226616623201,304703.34375
243.2317226333105,3080122.75
243.231929192809,3840077.75
244.0943085799609,2066464.25
244.0945072265811,2683064.25
244.1290247781669,388006.40625
244.1292615660997,305617.34375
244.165462404906,315998.1875
244.1656821478541,405450.21875
244.1899507180525,265090.15625
244.190590200002,4171486.25
244.1907912122904,5159535.5
244.2350871494513,530612.6875
244.2353213810068,514349.84375
244.9581001415223,497937.84375
244.9637973921821,257995.484375
244.9732407853554,475366.96875
244.9734503133399,617306.25
245.0251991373022,380806.5
245.0255410854397,1227218.25
245.033205422252,294872.75
245.0768708169902,406295.8125
245.0784422248062,502475.96875
245.0978770598458,314916.09375
245.1131657448117,263578.53125
245.1148850691974,550175.9375
245.1941682205023,608959.3125
245.6157269136708,404907.34375
245.9637689345316,303107.15625
246.0187133202526,355645.53125
246.0189599539517,444411.375
246.0297949482712,400727.84375
246.1448917751169,307520.375
246.1812887880994,377628.5625
246.952653794204,368520.96875
246.9900448932178,306187.46875
247.0123658717415,521183.78125
247.0125873784409,947227.75
247.0142119614022,1855036.75
247.0144854585132,361906.34375
247.0228810973356,283386.6875
247.0488164150818,417791.03125
247.1095007505539,244180.0625
247.1287539791192,509624.0625
247.1289491113525,438902.5
247.2057137095049,296347.09375
248.1240393315459,265180.875
248.1603681640202,533153.5625
248.1605603661095,698181.25
249.0161479697889,249497.53125
249.0453703848712,418521.09375
249.0456139338114,455962.03125
249.1079936534404,283375.875
249.1082459453399,298764.8125
249.1460052637444,432972.4375
249.1462093433399,352900.6875
249.1574560830968,341955.4375
249.1823361241221,270176.1875
249.1825701653369,512074.375
249.221178031786,283444.96875
249.2213994911374,290882.0
249.5038466159355,569847.0
249.9297381659928,475125.8125
249.9837545702675,559754.5
249.9839878043653,469298.96875
250.0861039493575,1980064.875
250.0863402705731,2252477.75
250.0933374344713,464367.40625
250.1220513377754,339101.125
250.1777072414019,452644.46875
250.1779159128833,270706.875
250.4662373008044,240938.6875
250.9715963376213,584045.25
250.9978400519175,275153.21875
251.0340354526348,336038.46875
251.0342724015239,488311.25
251.0687141197819,284731.90625
251.0694893802373,7144432.5
251.0696866987976,9114744.0
251.0703580512536,334660.1875
251.0893810016491,284478.5
251.0897056364432,464686.46875
251.1278356277681,511214.8125
251.161623587185,253743.359375
251.1642735953423,310095.375
251.1980024043475,641728.125
251.198234987823,705540.875
251.928087425307,317376.1875
251.9730966341688,469578.84375
252.0730207861926,818200.375
252.109076079823,252718.5
252.9186020067125,281933.1875
252.9736752281946,1068614.625
252.9738346567943,1123382.25
253.0595438700482,376152.96875
253.0654646605293,480578.75
253.083495627702,370298.84375
253.0837928140832,424040.5625
253.1410133040904,294187.5
253.1432785434209,484803.625
253.1434933782849,490170.75
253.2138951683058,250150.71875
253.216120145666,723233.4375
254.0188798374814,411445.96875
254.0191176739727,499095.25
254.032293794299,406007.0
254.1607339274833,281264.03125
254.1610007455578,739504.8125
254.1612400447548,985649.25
254.9577670771098,283414.15625
254.9797355006888,326019.21875
255.0627667217154,391159.59375
255.0630257970387,317202.65625
255.0974151858275,1390306.875
255.0976309396653,1483445.25
255.0993822957733,432334.125
255.1355731298313,246149.0
255.1452099575457,628760.5
255.1589794953771,265716.375
255.2303470886293,297189.1875
255.2306849326553,474810.28125
255.2319186742378,19530208.0
255.2328284531763,620053.75
255.2330522790953,341407.8125
255.2683293748028,379431.8125
255.7657505945384,250567.4375
255.8950064267663,266951.5625
255.8952605246767,302778.9375
256.0814096430472,754517.75
256.0815760494239,848213.875
256.2271557274166,308392.9375
256.235253509141,3374644.75
256.2633467710014,618093.25
256.2635857880957,704318.625
256.2997567064189,2635789.5
256.299937997307,3027945.0
256.9734784612636,274479.8125
256.990792301833,248133.375
257.0167732494264,313198.59375
257.0170369212179,351818.25
257.1060934895146,299557.46875
257.1242866788105,486524.8125
257.1245224063626,795150.8125
257.2384826728025,338983.71875
257.2462669832517,260412.34375
257.247565026997,14894351.0
257.3030689565151,513804.9375
257.3032504432856,516696.65625
258.1079096175584,300972.59375
258.10824216604,338952.96875
258.1087332781696,753261.5625
258.1101646709132,55847836.0
258.1109544116366,1423168.0
258.1112727772324,866755.1875
258.1115066160291,559653.3125
258.1116725863021,478919.1875
258.1118866821009,391462.71875
258.1121192880246,322802.8125
258.1701141764144,266018.4375
