m/z,BY0_000002
201.1848452415577,445818.9375
201.2734394919453,540337.4375
201.292619606321,351444.03125
201.3002914747615,1274742.75
201.6725364613913,311771.875
202.1796930600972,303465.65625
202.1800481527492,3854691.0
202.1802154782904,3367296.75
202.1822347635647,1551769.75
202.9537102829727,278891.59375
202.9863851421624,551960.25
203.0227525922886,299667.71875
203.0526950626973,352792.71875
203.1835761040538,536793.5
204.0889052556184,758918.5625
204.0890549253073,788299.375
204.1229376140853,4479255.5
204.123082703187,4025462.75
204.12339140409,295444.0625
204.1341702815741,843731.6875
204.1342953189099,780375.0
204.3904482918004,549190.625
204.9932040211343,286857.71875
205.0018580222169,274634.6875
205.0020518465803,387648.90625
205.0285329454067,314052.0625
205.0287937810774,514210.21875
205.0728931134218,308798.15625
205.0817182167151,336445.15625
205.0818428595036,381653.28125
205.0820017792788,623124.0
205.0969600371037,277065.40625
205.0972233843117,524103.0
205.1183354343036,257783.515625
205.1261855749235,326827.84375
205.1264645843267,441959.03125
205.903494743696,524158.5625
205.903658865803,488748.09375
206.0659701091459,299136.46875
206.9031773022036,347950.40625
207.007887286998,2013039.5
207.0080317439651,2108234.75
207.0082690665623,271886.9375
207.9016881442878,334161.6875
207.9663525250173,866853.1875
207.9665039303893,900772.5
208.2439174833318,242531.65625
208.3687404584807,630985.75
208.3690355962753,9525053.0
208.3692310149473,642483.125
208.7022494891511,1756610.875
208.703505630471,1501628.0
208.8999028258879,257839.5625
209.0330490348582,399252.875
209.0331833828853,478216.6875
209.033325824355,722253.625
209.0346895493932,1073407.75
209.0367088663286,250771.640625
209.0783438154066,283822.84375
209.078517895832,287354.53125
209.1535605914571,615954.25
209.1536869918433,805524.9375
210.1101304290302,252310.375
210.3232294696424,243420.90625
211.0940155588237,566072.75
211.1693204469815,252230.28125
213.0522506679031,403606.34375
213.0524364731271,357034.3125
213.0976690874514,271546.9375
213.098078706561,4056824.75
213.0982864605925,4624726.0
213.1096168181724,364727.84375
213.1097959938593,317220.4375
213.1235707112667,250089.828125
214.0021704075735,437690.25
214.0023553285766,494011.46875
214.0512679738796,308278.40625
214.1014315485265,443951.09375
214.1015945658342,370853.96875
214.1800763119301,248619.59375
214.1802623901936,265545.84375
214.9530339327093,266869.6875
214.9532068075893,448508.21875
214.9628591443016,1064033.875
214.9974505218678,562714.5625
214.9975926460603,698370.8125
215.0065459927664,2412055.25
215.091309651247,258674.53125
215.127855656135,271677.5
215.139063379869,334975.34375
215.200444528583,556821.5
215.2005963569476,505680.75
215.6966870068134,329066.78125
215.8241000486908,264271.375
216.062598817688,280039.8125
216.0630562309969,3358832.75
216.0632144670544,3562310.75
216.1592710576726,270481.34375
216.1595168450541,316772.03125
216.9630003117667,575024.125
216.963184281845,445548.21875
217.0018057231508,266599.5625
217.0020246474,349034.96875
217.0287908108316,260101.71875
217.0381819915398,316269.25
217.0383852841672,384933.46875
217.0664407016021,309909.5625
217.1045235857109,807998.6875
217.1046999385599,954487.125
217.9970407419494,263092.09375
218.1387796931667,591882.5625
218.1497903358588,251805.390625
219.0176248665092,1594288.625
219.0264221309951,489249.65625
219.0266460479697,617718.0
219.0540997830004,385703.59375
219.0974729853515,254715.8125
219.1338010655348,420184.40625
219.1339825093983,586114.75
219.2107655588039,860627.8125
220.0129390929737,248556.828125
220.9962668574571,262309.15625
220.9967444942242,2441008.0
220.9969570794351,2933570.75
221.0234936390916,440771.0625
221.0237216580108,469208.4375
221.0330988911319,267783.59375
221.0333405036183,482222.53125
221.1171114194196,543798.3125
221.117326047473,559181.875
221.3768532427749,1792198.25
221.7113267933775,354600.03125
221.9455993344098,443032.0625
221.9458265226692,355308.5625
221.9819964445196,543132.875
221.9822246200009,548877.25
223.0393422106644,294640.875
223.0635062107013,273313.5625
223.0739993038331,471782.4375
223.0745827432512,11898904.0
223.0747624763884,14282176.0
223.0754574472429,364098.71875
223.096350993471,273187.40625
223.0965455119128,278319.0
223.2057487716841,242695.5
224.0779476556866,829598.375
224.0781252892232,1237350.125
225.0524680853796,434322.96875
225.0704505584247,593093.75
225.1097382827401,437889.4375
225.1485111090332,294243.5
